back_dock_failed.wav,"Impossibile raggiungere la base di ricarica. Rimuovi eventuali ostacoli e pulisci l'area di trasmissione della base."
back_dock_nearby.wav,"Impossibile raggiungere la base di ricarica, rimuovi eventuali ostacoli!"
bin_in.wav,"Contenitore della polvere inserito."
bin_out.wav,"Contenitore della polvere rimosso."
binout_error10.wav,"Il filtro è ostruito. Rimuovi il contenitore della polvere e puliscilo!"
bl_recovery_bootfailed.wav,"Avvio non riuscito. Ripristino delle impostazioni di fabbrica in corso. Richiederà circa 5 minuti."
bl_recovery_failed.wav,"Ripristino delle impostazioni di fabbrica non riuscito. Riprova."
bl_recovery_retry.wav,"Ripristino delle impostazioni di fabbrica in corso. Richiederà circa 5 minuti."
bl_recovery_start.wav,"Ripristino delle impostazioni di fabbrica in corso. Richiederà circa 5 minuti."
bl_recovery_updatefailed.wav,"Aggiornamento non riuscito. Ripristino delle impostazioni di fabbrica in corso. Richiederà circa 5 minuti."
charging.wav,"In carica."
clean_bin.wav,"Svuota il contenitore della polvere."
clean_finish.wav,"Pulizia completata. Ritorno alla base di ricarica."
di.wav,"Ding dong!"
ding.wav,"Ding!"
error_internal.wav,"Si è verificato un errore interno. Riavvia il sistema."
error1.wav,"Errore 1, Ruota l'unità laser e verifica che non sia bloccata o ostruita."
error2.wav,"Errore 2, Pulisci e premi leggermente il paraurti."
error3.wav,"Errore 3, Sposta l'unità principale in una nuova posizione e riavvia."
error4.wav,"Errore 4, Pulisci i sensori di dislivello. Sposta l'unità principale lontano da gradini e riavvia."
error5.wav,"Errore 5, Rimuovi e pulisci la spazzola principale e i relativi cuscinetti."
error6.wav,"Errore 6, Rimuovi e pulisci la spazzola laterale."
error7.wav,"Errore 7, Verifica che le ruote non siano bloccate, sposta l'unità principale e riavvia."
error8.wav,"Errore 8, Rimuovi eventuali ostacoli attorno all'unità principale."
error9.wav,"Errore 9, Reinstalla il contenitore della polvere e il filtro."
error10.wav,"Errore 10, Controlla il filtro. Se è bagnato, usane uno asciutto. Se è asciutto, puliscilo e riprova."
error11.wav,"Errore 11, Rilevato forte campo magnetico. Sposta il dispositivo lontano dal nastro magnetico e riavvia."
error12.wav,"Errore 12, Livello della batteria troppo basso, ricarica prima dell'uso."
error13.wav,"Errore 13, Errore di ricarica. Pulisci i contatti di ricarica e riprova."
error14.wav,"Errore 14, Errore della batteria."
error15.wav,"Errore 15, Pulisci il sensore di rilevazione muro."
error16.wav,"Errore 16, Posiziona e avvia l'unità principale su una superficie piana."
error17.wav,"Errore 17, Errore del modulo della spazzola laterale. Riavvia l'unità principale."
error18.wav,"Errore 18, Errore della ventola di aspirazione. Riavvia l'unità principale."
error19.wav,"Errore 19, Assenza di corrente sulla base di ricarica. Verifica il collegamento all'alimentazione."
error21.wav,"Errore 21, Sensore di torretta laser premuto. Sposta l'unità principale e riavvia."
